operation,timestamp,seconds,bytes,rate_MBps,source
auth,1764781706.4921448,0.060619958000000196,0,,client
upload,1764781784.1550772,0.0012119579999989583,1243775,978.7107085304963,client
download,1764781796.622475,0.003224041999999372,1243775,367.90968383427224,client
